amount,hour_of_day,location_mismatch,device_trust_score,behavior_anomaly_score,processing_latency_ms,is_fraud
113.79,6,0,0.91,0.28,24.59,0
36.84,11,0,0.59,0.19,7.37,0
38.98,15,1,0.49,0.09,9.23,0
6.67,8,0,0.64,0.21,19.28,0
30.66,19,0,0.8,0.4,16.32,0
39.03,4,0,0.66,0.44,21.57,0
14.88,10,0,0.31,0.28,14.92,0
16.68,1,0,0.35,0.39,10.66,0
24.68,21,0,0.8,0.13,13.93,0
2.01,15,0,0.58,0.52,7.34,0
20.44,3,0,0.3,0.66,9.36,1
12.88,4,0,0.75,0.19,19.86,0
20.84,6,0,0.71,0.33,19.36,0
1909.63,5,0,0.93,0.36,16.82,0
111.6,23,1,0.31,0.28,6.39,0
46.02,21,0,0.22,0.8,13.21,1
57.83,9,0,0.74,0.44,8.88,0
78.84,13,0,0.35,0.4,20.88,0
35.5,7,0,0.75,0.31,12.08,0
5.55,13,1,0.99,0.05,9.57,0
39.51,13,0,0.92,0.06,15.15,0
45.2,19,0,0.71,0.18,11.8,0
69.41,22,0,0.93,0.13,22.42,0
29.25,2,0,0.13,0.77,11.33,1
7.82,0,0,0.62,0.25,8.0,0
17.69,8,0,0.6,0.53,4.24,0
23.56,8,0,0.54,0.49,14.85,0
52.91,21,0,0.3,0.49,12.19,0
43.29,1,0,0.92,0.13,7.86,0
23.01,15,0,0.84,0.27,20.95,0
216.31,7,0,0.76,0.19,18.34,0
47.54,5,0,0.31,0.67,14.86,1
14.54,22,0,0.56,0.53,21.82,0
6.37,12,0,0.95,0.15,18.31,0
9.29,0,0,0.73,0.19,10.89,0
3225.92,18,1,0.08,0.87,9.8,1
9.76,14,0,0.94,0.17,19.09,0
11.32,0,0,0.69,0.49,16.98,0
17.78,9,0,0.72,0.49,15.85,0
10.52,0,0,0.54,0.43,10.77,0
114.54,11,0,0.56,0.41,18.04,0
5.18,10,0,0.78,0.33,11.22,0
38.17,16,0,0.52,0.21,14.49,0
27.42,3,1,0.35,0.74,22.23,1
202.93,22,0,0.02,0.65,11.7,1
6.94,6,0,0.42,0.03,7.14,0
26.36,11,0,0.62,0.24,9.74,0
175.45,12,1,0.29,0.75,19.97,1
101.31,4,0,0.01,0.78,16.27,1
85.93,5,0,0.51,0.11,14.36,0
15.91,1,0,0.72,0.4,12.45,0
10.37,20,0,0.48,0.21,17.43,0
56.23,6,0,0.48,0.49,10.75,0
133.52,13,0,0.55,0.31,16.53,0
41.68,21,0,0.94,0.19,11.34,0
43.39,13,0,0.57,0.19,10.51,0
17.42,9,0,0.87,0.2,11.81,0
74.37,3,0,0.44,0.47,13.12,0
11.35,2,0,0.21,0.9,14.76,1
20.55,22,0,0.85,0.19,16.18,0
28.71,13,0,0.68,0.29,2.0,0
36.42,5,0,0.65,0.05,10.96,0
14.88,22,0,0.49,0.5,13.04,0
7.1,14,0,0.35,0.16,22.53,0
48.16,7,0,0.64,0.53,9.6,0
18.03,4,0,0.91,0.36,15.81,0
44.52,2,0,0.25,0.81,22.48,1
9.38,2,0,0.95,0.1,8.44,0
33.81,12,0,0.49,0.04,16.97,0
39.03,1,0,0.67,0.33,10.99,0
3.66,23,0,0.35,0.28,12.48,0
21.52,0,1,0.6,0.07,10.98,0
8.22,11,0,0.32,0.9,11.34,1
4.27,7,0,0.33,0.25,28.61,0
231.06,18,0,0.98,0.16,19.22,0
20.46,8,0,0.81,0.47,20.51,0
84.0,13,0,0.8,0.55,17.46,0
15.69,17,0,0.36,0.18,6.97,0
58.21,9,1,0.95,0.47,16.97,0
72.4,8,0,0.63,0.39,20.36,0
46.27,5,0,0.21,0.74,10.73,1
32.89,0,0,0.31,0.12,19.83,0
27.54,4,1,0.31,0.68,18.52,1
22.45,9,0,1.0,0.19,24.26,0
133.63,12,1,0.6,0.25,12.91,0
89.78,21,0,0.92,0.22,9.51,0
168.66,22,0,0.53,0.16,13.19,0
7.64,3,0,0.67,0.42,22.18,0
66.63,0,0,0.9,0.35,5.86,0
140.31,20,0,0.72,0.18,4.66,0
11.0,1,0,0.81,0.08,15.45,0
4.44,23,0,0.46,0.19,12.79,0
68.57,3,0,0.41,0.23,15.04,0
43.72,16,0,0.46,0.23,19.73,0
93.2,9,0,0.65,0.21,12.24,0
8.53,22,0,0.86,0.03,5.63,0
80.3,11,0,0.55,0.28,25.22,0
12.26,1,0,0.7,0.5,10.01,0
9.94,2,0,0.86,0.11,9.7,0
9.97,13,0,0.47,0.09,20.52,0
85.26,14,0,0.92,0.28,13.08,0
55.71,12,0,0.97,0.22,14.68,0
38.02,8,0,0.33,0.34,17.41,0
23.22,1,0,0.06,0.96,20.42,1
105.86,18,0,0.36,0.46,13.33,0
25.92,15,0,0.84,0.41,22.6,0
85.8,10,1,0.24,0.73,4.32,1
29.91,11,0,0.81,0.17,18.8,0
24.66,0,0,0.61,0.32,10.8,0
32.06,1,0,0.89,0.53,21.86,0
18.93,15,0,0.87,0.53,15.71,0
69.84,1,0,0.97,0.27,11.64,0
35.93,18,0,0.48,0.15,18.31,0
1056.08,9,0,0.26,0.79,19.47,1
115.92,18,0,0.32,0.02,18.21,0
25.22,9,0,0.59,0.51,9.85,0
954.63,15,0,0.62,0.16,12.58,0
119.47,12,0,0.98,0.22,14.98,0
49.94,15,0,0.88,0.49,14.79,0
7.22,17,0,0.42,0.07,18.75,0
141.53,23,0,0.86,0.28,4.93,0
50.4,7,0,0.42,0.07,16.67,0
21.39,23,0,0.35,0.27,13.55,0
8.5,17,0,0.89,0.03,10.81,0
80.0,12,0,0.98,0.31,11.29,0
49.39,6,0,0.36,0.48,13.93,0
39.12,20,0,0.87,0.41,2.0,0
113.17,22,0,0.9,0.31,11.49,0
78.7,23,0,0.38,0.5,10.62,0
9.22,17,0,0.5,0.14,17.66,0
19.68,5,0,0.81,0.5,10.97,0
15.28,8,0,0.87,0.17,13.92,0
69.12,5,0,0.55,0.22,22.71,0
2236.37,17,0,0.12,0.98,19.97,1
43.19,16,0,0.75,0.06,19.51,0
72.87,11,1,0.79,0.56,12.5,0
105.68,2,0,0.65,0.11,17.72,0
21.93,4,0,0.32,0.98,13.83,1
87.09,6,0,0.89,0.32,14.02,0
6.86,9,0,0.75,0.21,17.05,0
94.69,9,0,0.91,0.52,12.02,0
7.82,18,0,0.95,0.54,22.47,0
26.32,3,0,0.86,0.2,14.2,0
80.8,9,0,0.97,0.06,18.09,0
9.12,17,0,0.97,0.13,22.28,0
14.02,2,0,0.73,0.28,20.16,0
65.05,20,0,0.81,0.17,7.96,0
64.65,2,0,0.79,0.27,17.22,0
52.24,4,0,0.73,0.46,19.25,0
60.2,15,0,0.31,0.25,19.46,0
40.12,19,0,0.55,0.12,9.43,0
15.5,12,0,0.37,0.21,11.71,0
22.21,10,0,0.51,0.45,19.97,0
11.02,12,0,0.35,0.25,11.19,0
120.54,18,0,0.94,0.15,13.5,0
44.78,5,0,0.62,0.26,22.88,0
26.61,23,0,0.43,0.27,14.76,0
32.0,12,0,0.71,0.18,11.37,0
148.14,3,0,0.22,0.81,10.61,1
9.32,21,0,0.86,0.46,16.66,0
45.12,4,0,0.51,0.42,8.33,0
36.25,18,0,0.52,0.51,13.76,0
48.27,4,0,0.91,0.4,16.67,0
1.91,20,0,0.69,0.47,21.5,0
103.83,13,0,0.92,0.25,18.34,0
135.5,3,1,0.32,0.91,11.43,1
42.64,11,0,0.54,0.03,20.89,0
60.64,5,0,0.65,0.17,13.5,0
128.87,18,0,0.34,0.22,8.82,0
62.42,9,0,0.41,0.38,14.14,0
9.28,0,1,0.2,0.62,22.19,1
43.94,22,0,0.87,0.36,15.83,0
47.66,22,1,0.81,0.43,15.06,0
28.59,15,0,0.44,0.03,23.19,0
67.67,3,0,0.49,0.15,7.84,0
137.18,8,0,0.96,0.1,8.57,0
130.89,17,0,0.36,0.11,6.92,0
30.97,16,0,0.68,0.3,16.86,0
7.01,14,0,0.67,0.44,15.83,0
210.46,18,0,0.81,0.16,22.71,0
92.29,6,0,0.48,0.49,16.22,0
7.66,17,0,0.95,0.54,12.98,0
127.82,5,1,0.16,0.84,15.01,1
102.97,18,0,0.5,0.41,15.59,0
37.58,20,0,0.54,0.07,6.64,0
4675.55,11,0,0.18,0.69,28.55,1
26.46,2,0,0.36,0.91,17.6,1
3.82,0,0,0.95,0.41,16.05,0
21.41,4,0,0.42,0.25,18.08,0
82.19,0,0,0.92,0.56,18.55,0
1.23,7,0,0.58,0.28,14.3,0
21.29,6,0,0.49,0.02,11.84,0
26.39,14,0,0.44,0.29,18.0,0
39.54,10,0,0.65,0.48,16.93,0
127.2,17,0,0.77,0.39,10.95,0
22.26,13,0,0.93,0.58,22.1,0
22.31,8,0,0.76,0.51,16.47,0
67.88,4,0,0.64,0.32,18.65,0
31.09,22,0,0.32,0.12,21.96,0
13.72,3,0,0.94,0.0,15.11,0
31.11,11,0,0.93,0.59,16.58,0
8.59,0,0,0.57,0.56,19.05,0
10.7,23,0,0.32,0.16,11.38,0
35.49,12,0,0.81,0.38,15.27,0
28.14,0,0,0.85,0.44,15.63,0
124.16,2,0,0.68,0.35,10.22,0
23.5,21,0,0.58,0.51,26.59,0
44.45,7,0,0.9,0.05,7.96,0
51.02,23,1,0.22,0.93,8.51,1
1.66,17,0,0.61,0.24,21.57,0
55.46,15,0,0.32,0.29,18.57,0
10.8,19,0,0.41,0.27,9.87,0
163.3,19,0,0.96,0.32,18.04,0
9.05,15,0,0.7,0.36,22.34,0
27.78,1,0,0.86,0.43,14.85,0
5.46,16,0,0.64,0.31,27.99,0
289.4,9,0,0.88,0.41,6.38,0
35.88,6,0,0.68,0.2,18.47,0
46.24,9,0,0.18,0.71,20.83,1
4.47,18,0,0.93,0.04,19.46,0
70.31,19,0,0.4,0.33,13.98,0
12.78,8,0,0.62,0.05,13.55,0
115.17,21,0,0.63,0.27,17.22,0
12.48,16,0,0.33,0.15,19.08,0
11.58,8,0,0.1,0.68,18.01,1
2.86,8,0,0.83,0.01,20.2,0
32.94,4,0,0.51,0.23,9.91,0
42.6,23,0,0.59,0.47,13.86,0
4.4,6,1,0.69,0.11,10.3,0
75.7,10,0,0.56,0.49,13.07,0
31.19,7,0,0.84,0.52,20.08,0
3003.06,13,0,0.2,0.89,15.54,1
30.06,1,0,0.34,0.13,28.03,0
26.6,9,0,0.74,0.16,15.97,0
42.01,20,0,0.52,0.1,15.3,0
9.44,23,0,0.71,0.11,15.53,0
11.04,15,0,0.64,0.02,11.81,0
99.95,15,0,0.53,0.51,14.71,0
147.05,18,0,0.37,0.32,20.64,0
24.37,10,0,0.69,0.2,15.57,0
16.79,5,0,0.18,0.87,11.03,1
52.64,5,0,0.14,0.72,10.37,1
27.27,6,0,0.99,0.2,12.75,0
2.29,15,0,0.52,0.52,15.37,0
9.49,12,1,0.71,0.13,20.97,0
63.93,2,1,0.18,0.89,8.3,1
54.78,23,0,0.91,0.4,13.4,0
2.37,23,0,0.21,0.92,15.72,1
13.55,8,0,0.56,0.01,5.83,0
14.14,23,0,0.73,0.04,10.83,0
56.72,2,1,0.02,0.96,11.6,1
2.0,5,0,0.87,0.55,11.02,0
6.5,16,0,0.48,0.44,15.96,0
81.45,2,0,0.88,0.37,14.2,0
10.83,1,0,0.79,0.02,12.22,0
53.88,11,0,0.99,0.21,17.14,0
14.6,23,0,0.95,0.21,23.62,0
6.24,5,0,0.67,0.33,23.2,0
14.93,9,0,0.82,0.15,5.39,0
65.05,10,0,0.7,0.16,17.89,0
97.79,15,0,0.72,0.37,14.11,0
89.66,15,0,0.37,0.57,15.78,0
26.31,23,0,0.3,0.4,13.01,0
56.14,17,0,0.33,0.4,15.59,0
12.47,21,0,0.98,0.59,15.76,0
18.35,22,0,0.39,0.09,12.11,0
114.33,23,0,0.33,0.02,10.52,0
1.65,8,0,0.52,0.45,12.76,0
5.47,20,0,0.71,0.26,16.17,0
12.65,18,0,0.96,0.26,17.99,0
2.34,1,0,0.79,0.14,19.27,0
11.01,23,0,0.49,0.3,12.53,0
44.74,0,0,0.96,0.27,16.42,0
28.36,15,0,0.33,0.21,19.81,0
112.59,21,0,0.99,0.27,20.83,0
86.03,17,0,0.34,0.23,14.71,0
21.91,2,0,0.14,0.65,13.9,1
16.02,23,0,0.21,0.64,15.96,1
24.88,0,0,0.95,0.5,9.25,0
45.62,5,0,0.14,0.87,14.03,1
16.6,18,0,0.34,0.16,18.72,0
49.93,21,1,0.16,0.83,18.21,1
27.33,18,0,0.37,0.24,13.65,0
41.15,10,0,0.86,0.45,16.09,0
29.65,7,0,0.82,0.12,10.88,0
18.44,4,0,0.72,0.49,18.52,0
149.26,19,0,0.56,0.05,14.61,0
73.11,8,0,0.94,0.16,13.62,0
8.55,14,0,0.91,0.49,13.19,0
102.43,20,0,0.6,0.45,14.69,0
34.42,13,0,0.46,0.3,12.76,0
113.48,3,0,0.03,0.74,18.29,1
81.44,23,0,0.45,0.11,13.02,0
28.69,23,0,0.68,0.4,22.96,0
2.14,7,0,0.91,0.0,22.33,0
16.65,19,0,0.84,0.5,10.54,0
40.0,16,0,0.86,0.31,15.35,0
51.18,1,0,0.61,0.57,11.75,0
15.91,19,0,0.53,0.29,13.37,0
8.5,15,0,0.83,0.26,25.01,0
91.07,9,0,0.86,0.27,13.46,0
209.03,1,0,0.79,0.22,16.8,0
38.29,10,0,0.32,0.1,17.71,0
10.42,9,0,0.71,0.51,10.0,0
16.89,18,0,0.54,0.23,10.72,0
1.93,13,0,0.44,0.32,8.97,0
123.84,10,0,0.79,0.01,10.57,0
7.26,8,0,0.49,0.04,2.0,0
43.96,6,0,0.94,0.36,17.72,0
17.01,14,0,0.51,0.53,25.27,0
41.39,19,0,0.69,0.3,15.74,0
53.69,16,0,0.88,0.1,7.92,0
89.52,2,0,0.58,0.07,11.79,0
12.56,14,0,0.88,0.54,12.71,0
1.55,13,0,0.81,0.42,9.91,0
8.36,7,0,0.94,0.58,19.3,0
116.14,3,0,0.53,0.05,19.05,0
104.53,9,0,0.29,0.74,9.22,1
46.49,1,0,0.6,0.51,18.63,0
46.88,13,0,0.85,0.54,22.63,0
55.69,7,0,0.62,0.0,24.51,0
10.64,22,0,0.48,0.45,29.33,0
123.91,9,0,0.32,0.33,10.49,0
28.13,17,1,0.52,0.34,29.12,0
25.16,14,0,0.8,0.28,13.23,0
37.59,4,0,0.4,0.45,12.04,0
3.41,21,0,0.54,0.6,16.64,0
10.09,12,0,0.31,0.43,12.09,0
67.98,17,0,0.81,0.41,17.0,0
5.32,1,0,0.92,0.39,8.4,0
47.21,12,0,0.7,0.42,13.81,0
15.08,13,0,0.32,0.21,21.43,0
25.66,9,0,0.45,0.19,14.71,0
18.03,3,0,0.61,0.47,15.71,0
22.98,14,0,0.71,0.03,17.38,0
64.48,7,0,0.65,0.46,20.85,0
18.63,14,0,0.94,0.49,6.72,0
42.78,13,0,0.96,0.31,17.92,0
33.32,20,0,0.38,0.55,13.66,0
55.48,8,0,0.4,0.28,15.83,0
139.1,19,0,0.55,0.11,20.3,0
66.95,2,0,0.59,0.22,9.03,0
13.1,14,0,0.71,0.54,9.94,0
2.58,23,0,0.84,0.6,5.32,0
16.21,16,0,0.4,0.25,12.25,0
46.2,15,0,0.86,0.1,21.65,0
3.64,3,0,0.73,0.17,14.4,0
35.3,10,0,0.99,0.33,8.3,0
46.42,7,0,0.76,0.34,12.57,0
2317.15,2,0,0.22,0.82,7.56,1
74.68,18,0,0.37,1.0,9.37,1
6.64,13,0,0.84,0.43,16.94,0
4.91,8,0,0.36,0.16,9.13,0
66.13,2,0,0.76,0.24,20.56,0
35.21,3,0,0.28,0.81,14.64,1
59.3,3,1,0.06,0.75,15.43,1
29.53,10,1,0.4,0.65,13.61,1
15.14,18,0,0.34,0.2,18.86,0
86.49,15,0,0.52,0.47,18.92,0
81.33,22,0,1.0,0.1,16.68,0
60.32,21,0,0.54,0.41,17.82,0
16.88,16,0,0.83,0.34,13.94,0
45.61,9,0,0.39,0.09,17.71,0
23.39,23,0,0.62,0.41,13.31,0
5.8,16,0,0.43,0.09,15.01,0
125.63,15,0,0.43,0.24,13.63,0
8.36,19,0,0.37,0.19,12.71,0
151.02,21,0,0.6,0.41,11.55,0
30.53,5,1,0.32,1.0,17.34,1
11.24,6,1,0.94,0.1,21.55,0
40.03,13,0,0.61,0.49,20.86,0
2620.28,10,0,0.31,0.7,8.72,1
66.88,11,0,0.99,0.32,21.45,0
83.14,13,0,0.77,0.31,13.41,0
54.76,4,0,0.93,0.37,18.0,0
59.93,4,0,0.39,0.14,10.47,0
95.59,19,0,0.88,0.01,15.71,0
15.36,21,0,0.49,0.27,16.57,0
34.61,22,0,0.63,0.04,7.58,0
2771.33,14,0,0.09,0.92,18.04,1
220.78,0,0,0.93,0.1,21.73,0
145.17,23,0,0.94,0.26,14.13,0
3.01,22,0,0.36,0.26,21.8,0
62.14,8,0,0.56,0.33,14.05,0
4764.8,2,0,0.86,0.47,19.25,0
10.96,3,0,0.79,0.28,3.91,0
42.96,15,0,0.32,0.02,27.09,0
124.54,6,0,0.61,0.46,22.48,0
2.73,21,0,0.88,0.05,13.58,0
60.77,13,0,0.82,0.38,5.14,0
18.64,15,0,0.59,0.48,16.44,0
130.11,17,0,0.81,0.17,7.78,0
178.12,15,0,0.69,0.27,17.22,0
145.36,15,0,0.94,0.01,17.06,0
33.14,1,1,0.71,0.48,10.29,0
100.04,9,0,0.58,0.42,20.6,0
94.07,6,0,0.9,0.14,19.03,0
20.22,14,0,0.33,0.23,19.88,0
89.28,8,0,0.93,0.42,15.04,0
2.89,6,0,0.79,0.21,7.92,0
46.35,23,0,0.96,0.1,19.89,0
14.07,15,0,0.48,0.31,13.65,0
7.42,2,0,0.79,0.43,8.05,0
5.0,16,0,0.87,0.19,21.76,0
60.58,22,0,0.79,0.07,25.5,0
21.77,7,0,0.45,0.5,14.79,0
65.51,1,0,0.49,0.15,25.8,0
4.38,19,0,0.7,0.31,15.46,0
19.94,2,1,0.61,0.41,13.1,0
39.77,7,0,0.81,0.19,11.85,0
79.2,1,0,0.57,0.39,23.19,0
20.19,18,0,0.9,0.28,11.1,0
50.16,16,0,0.6,0.34,18.68,0
109.57,4,0,0.23,0.82,12.2,1
48.84,19,0,0.31,0.49,12.7,0
14.26,16,1,0.75,0.39,20.15,0
2.24,9,0,0.68,0.16,13.1,0
103.05,8,0,0.68,0.04,12.98,0
2.07,21,0,0.85,0.0,20.66,0
104.85,5,0,0.0,0.8,22.99,1
38.64,10,1,0.12,0.81,18.22,1
140.9,1,0,0.96,0.06,11.73,0
81.17,22,0,0.31,0.29,12.45,0
310.11,11,0,0.93,0.09,15.4,0
22.59,11,0,0.78,0.57,16.6,0
73.88,15,0,0.65,0.15,10.06,0
26.7,21,0,0.71,0.3,18.62,0
33.68,23,0,0.89,0.1,15.43,0
50.38,11,0,0.97,0.2,6.42,0
104.45,20,0,0.69,0.16,10.36,0
208.02,17,0,0.43,0.29,12.48,0
74.11,12,0,0.75,0.25,14.64,0
28.04,14,0,0.35,0.2,24.45,0
28.35,15,0,0.74,0.06,16.19,0
67.89,3,0,0.87,0.29,10.8,0
14.64,11,0,0.55,0.51,16.1,0
6.85,16,0,0.35,0.44,13.24,0
22.9,0,1,0.78,0.43,16.62,0
17.93,21,0,0.54,0.22,17.9,0
18.57,17,0,0.47,0.43,21.05,0
14.3,21,0,0.78,0.28,14.88,0
3.15,15,1,0.98,0.09,23.19,0
1.9,0,0,0.82,0.25,19.54,0
221.0,9,0,0.64,0.08,11.46,0
28.91,18,0,0.72,0.07,26.05,0
25.25,15,0,0.4,0.01,16.63,0
57.92,13,0,0.87,0.17,10.82,0
13.31,1,0,0.72,0.2,23.26,0
150.75,23,0,0.98,0.42,25.39,0
78.17,5,0,0.99,0.32,14.83,0
5.68,21,0,0.55,0.52,12.48,0
28.03,22,0,0.99,0.11,14.14,0
106.65,4,0,0.97,0.16,18.57,0
145.78,11,0,0.75,0.56,21.39,0
32.5,3,0,0.53,0.27,17.85,0
2443.3,21,0,0.27,0.64,15.51,1
10.14,23,1,0.37,0.65,22.49,1
237.47,3,0,0.74,0.28,13.44,0
14.18,4,0,0.2,0.65,20.15,1
144.0,6,0,0.74,0.51,13.56,0
53.44,5,0,0.97,0.05,17.16,0
47.79,12,0,0.46,0.19,14.43,0
36.94,3,0,0.84,0.4,14.72,0
14.11,12,0,0.51,0.3,13.11,0
10.71,3,0,0.08,0.97,21.72,1
13.45,9,0,0.79,0.02,11.34,0
11.32,19,0,0.43,0.39,11.3,0
76.61,0,1,0.72,0.29,25.6,0
22.55,20,0,0.9,0.09,19.89,0
3.98,7,0,0.57,0.45,3.07,0
174.85,6,1,0.8,0.25,12.17,0
108.62,4,0,0.77,0.32,5.94,0
132.38,2,0,0.18,1.0,10.25,1
265.0,14,0,0.94,0.29,2.0,0
10.55,16,0,0.69,0.49,14.32,0
26.23,22,0,0.55,0.46,9.29,0
71.99,12,0,0.42,0.4,15.3,0
60.54,14,0,0.63,0.54,6.87,0
9.36,18,0,0.81,0.15,15.41,0
85.6,19,0,0.74,0.49,12.93,0
13.71,13,0,0.81,0.23,22.51,0
13.67,20,0,0.85,0.49,22.06,0
39.5,12,0,0.61,0.3,18.93,0
45.94,11,0,0.66,0.51,13.37,0
44.39,23,0,0.99,0.54,24.93,0
5.8,22,0,0.98,0.36,7.23,0
105.97,8,0,0.59,0.3,7.98,0
16.44,2,0,0.78,0.47,14.58,0
7.94,10,0,0.49,0.16,26.27,0
110.8,9,0,0.41,0.01,13.99,0
156.78,0,0,0.84,0.24,14.08,0
100.07,16,0,0.61,0.3,7.79,0
83.91,12,0,0.42,0.18,19.73,0
54.25,13,0,0.83,0.23,19.77,0
41.02,0,0,0.94,0.08,18.95,0
5.55,1,1,0.95,0.17,11.85,0
27.25,1,1,0.72,0.14,11.47,0
24.32,6,0,0.64,0.18,8.53,0
16.04,8,0,0.4,0.18,15.42,0
65.26,23,0,0.85,0.34,9.6,0
35.25,3,0,0.96,0.15,9.11,0
5.23,1,0,0.92,0.56,12.88,0
13.43,18,0,0.83,0.31,12.55,0
58.48,4,0,0.3,0.08,12.31,0
4.96,8,0,0.59,0.17,17.33,0
96.26,23,0,0.59,0.44,15.4,0
35.17,12,1,0.93,0.01,13.56,0
33.75,11,0,0.35,0.56,15.92,0
45.87,18,0,0.67,0.27,10.04,0
88.06,8,0,0.4,0.31,15.53,0
22.37,9,0,0.76,0.59,15.75,0
57.66,18,0,0.85,0.3,7.48,0
42.7,9,0,0.75,0.57,19.98,0
16.53,11,0,0.86,0.55,10.59,0
106.45,13,0,0.73,0.56,15.45,0
80.83,7,0,0.43,0.49,20.82,0
54.71,15,0,0.57,0.18,19.63,0
96.05,16,0,0.97,0.21,15.17,0
101.98,19,0,0.5,0.22,13.19,0
62.61,3,0,0.18,0.95,19.74,1
91.7,5,0,0.57,0.22,18.37,0
60.78,11,0,0.56,0.07,11.91,0
57.99,17,0,0.63,0.47,11.03,0
49.2,6,0,0.69,0.22,4.64,0
70.86,4,0,0.99,0.37,15.77,0
9.63,9,0,0.83,0.55,14.59,0
107.38,5,0,0.29,0.77,20.68,1
103.73,13,0,0.8,0.38,16.8,0
2.48,5,0,0.88,0.39,21.67,0
88.38,13,0,0.93,0.37,11.51,0
7.9,11,0,0.6,0.1,20.69,0
21.41,21,0,0.52,0.27,12.36,0
69.03,11,0,0.89,0.0,18.89,0
9.76,7,0,0.84,0.38,7.71,0
86.18,9,0,0.68,0.35,16.18,0
90.23,15,0,0.38,0.19,5.08,0
36.41,19,0,0.76,0.31,13.66,0
1.32,7,0,0.35,0.3,17.2,0
17.92,8,0,0.37,0.15,12.4,0
48.98,12,1,0.53,0.18,9.75,0
199.66,19,0,0.56,0.46,19.23,0
50.96,16,0,0.62,0.45,14.48,0
16.04,18,0,0.54,0.28,12.55,0
51.26,16,0,0.32,0.43,15.21,0
39.82,6,1,0.41,0.27,28.18,0
76.67,0,0,0.25,0.63,20.77,1
6.66,19,0,0.6,0.2,20.81,0
72.57,13,0,0.45,0.56,17.18,0
39.96,16,0,0.51,0.33,15.83,0
165.83,12,0,0.63,0.32,3.02,0
21.92,1,1,0.18,0.9,11.61,1
51.07,13,0,0.47,0.2,12.6,0
135.43,0,0,0.88,0.43,5.63,0
6.41,4,0,0.68,0.19,9.21,0
139.41,6,0,0.9,0.24,5.1,0
59.22,18,0,0.66,0.4,14.81,0
4.51,13,0,0.94,0.23,19.09,0
18.9,23,0,0.48,0.12,20.53,0
62.58,13,0,0.73,0.52,17.07,0
4.49,14,0,0.65,0.55,10.18,0
44.63,4,0,0.94,0.38,5.34,0
22.22,4,0,0.59,0.49,6.22,0
49.5,20,0,0.9,0.59,8.66,0
3.34,23,0,0.69,0.37,10.56,0
103.61,1,0,0.8,0.55,14.2,0
182.51,17,0,0.92,0.22,9.93,0
174.49,23,0,1.0,0.42,16.69,0
70.25,8,0,0.81,0.03,13.84,0
7.97,9,0,0.52,0.47,15.05,0
72.0,17,1,0.51,0.5,20.7,0
2.24,3,0,0.52,0.24,9.1,0
2.12,7,0,0.37,0.38,17.09,0
20.55,17,0,0.27,0.88,14.93,1
34.53,19,0,0.71,0.53,13.33,0
74.57,16,0,0.87,0.06,19.43,0
58.49,15,1,0.24,0.92,19.4,1
30.52,17,0,0.7,0.16,10.27,0
16.98,6,0,0.56,0.44,14.09,0
293.58,0,0,0.92,0.2,16.41,0
28.77,0,0,0.4,0.03,13.63,0
31.02,17,0,0.69,0.13,17.93,0
9.93,3,0,0.98,0.25,16.41,0
80.19,22,0,0.54,0.44,24.16,0
60.16,19,0,0.82,0.06,7.35,0
13.47,20,0,0.92,0.49,14.39,0
5.3,19,0,0.33,0.85,10.46,1
904.22,3,0,0.99,0.47,18.02,0
54.14,5,0,0.87,0.28,6.91,0
16.96,2,0,0.4,0.34,16.73,0
151.66,5,0,0.52,0.0,11.85,0
9.19,12,1,0.74,0.13,11.33,0
29.31,22,0,0.92,0.54,7.77,0
144.78,6,0,0.44,0.01,12.67,0
28.21,23,0,0.81,0.54,20.42,0
51.88,3,0,0.13,0.64,14.87,1
26.34,0,0,0.86,0.08,18.14,0
17.03,5,0,0.78,0.11,23.32,0
207.69,23,0,0.67,0.48,16.32,0
27.33,4,0,0.75,0.29,12.21,0
113.26,12,0,0.91,0.09,17.34,0
14.07,18,0,0.57,0.41,12.28,0
12.98,3,0,0.24,0.84,12.48,1
2.58,23,0,0.41,0.34,7.4,0
53.73,5,0,0.79,0.06,19.63,0
23.98,12,0,0.83,0.03,13.07,0
100.89,4,0,0.61,0.48,15.91,0
33.05,12,0,0.86,0.38,9.82,0
173.4,9,0,0.69,0.55,17.18,0
11.26,2,0,0.96,0.33,11.19,0
102.48,22,0,0.38,0.04,14.29,0
75.94,12,0,0.39,0.24,19.39,0
74.68,11,0,0.89,0.39,18.95,0
94.15,3,0,0.89,0.23,14.89,0
72.57,9,0,0.63,0.6,6.16,0
50.2,2,0,0.97,0.24,29.96,0
8.03,16,0,0.78,0.33,23.73,0
2.65,8,0,0.99,0.14,18.61,0
127.82,0,0,0.67,0.09,11.23,0
48.94,17,0,0.44,0.39,14.43,0
80.61,8,0,0.61,0.35,12.28,0
33.84,20,0,0.99,0.0,21.32,0
7.24,19,0,0.56,0.17,16.31,0
7.69,8,0,0.97,0.39,11.08,0
58.85,1,0,0.86,0.49,12.65,0
29.13,18,0,0.61,0.19,20.61,0
12.19,15,0,0.68,0.39,23.0,0
34.82,2,0,0.73,0.16,22.64,0
4.32,15,1,0.77,0.41,18.79,0
44.61,20,1,0.22,0.6,13.74,1
16.67,12,0,0.95,0.08,2.0,0
80.87,2,1,0.72,0.4,16.49,0
19.58,9,1,0.95,0.2,14.99,0
31.37,21,0,0.74,0.1,15.7,0
